@relation cadences

@attribute VosCenterGravityfifth {True, False}
@attribute VosCenterGravityfirst {True, False}
@attribute VosCenterGravityfourth {True, False}
@attribute VosCenterGravitysecond {True, False}
@attribute VosCenterGravitythird {True, False}
@attribute VosHarmonyfifth numeric
@attribute VosHarmonyfirst numeric
@attribute VosHarmonyfirstsecond {-,=,+}
@attribute VosHarmonyfourth numeric
@attribute VosHarmonyfourthfifth {-,=,+}
@attribute VosHarmonysecond numeric
@attribute VosHarmonysecondthird {-,=,+}
@attribute VosHarmonythird numeric
@attribute VosHarmonythirdfourth {-,=,+}
@attribute ambitus numeric
@attribute containsleap {True, False}
@attribute contourfifth {-,=,+}
@attribute contourfirst {-,=,+}
@attribute contourfourth {-,=,+}
@attribute contourreversal {True, False}
@attribute contoursecond {-,=,+}
@attribute contourthird {-,=,+}
@attribute diatonicpitchfifth numeric
@attribute diatonicpitchfirst numeric
@attribute diatonicpitchfirstsecond {-,=,+}
@attribute diatonicpitchfourth numeric
@attribute diatonicpitchfourthfifth {-,=,+}
@attribute diatonicpitchsecond numeric
@attribute diatonicpitchsecondthird {-,=,+}
@attribute diatonicpitchthird numeric
@attribute diatonicpitchthirdfourth {-,=,+}
@attribute intervaldirfirstsecond {-,=,+}
@attribute intervaldirfourthfifth {-,=,+}
@attribute intervaldirsecondthird {-,=,+}
@attribute intervaldirthirdfourth {-,=,+}
@attribute intervalfifth numeric
@attribute intervalfirst numeric
@attribute intervalfourth numeric
@attribute intervalsecond numeric
@attribute intervalsizefirstsecond {-,=,+}
@attribute intervalsizefourthfifth {-,=,+}
@attribute intervalsizesecondthird {-,=,+}
@attribute intervalsizethirdfourth {-,=,+}
@attribute intervalthird numeric
@attribute isascending {True, False}
@attribute isdescending {True, False}
@attribute largetosmall {True, False}
@attribute midipitchfifth numeric
@attribute midipitchfirst numeric
@attribute midipitchfourth numeric
@attribute midipitchsecond numeric
@attribute midipitchthird numeric
@attribute registraldirectionchange {True, False}
@attribute scaledegreefifth numeric
@attribute scaledegreefirst numeric
@attribute scaledegreefourth numeric
@attribute scaledegreesecond numeric
@attribute scaledegreethird numeric
@attribute cadence_class {finalcadence, midcadence, nocadence}

@data
True,False,False,False,False,3,?,?,4,-,0,+,6,-,4,True,-,?,-,False,=,+,29,28,=,30,-,28,+,32,-,=,=,+,-,-2,0,-3,0,=,-,+,-,7,False,False,False,69,67,71,67,74,True,2,1,3,1,5,nocadence
True,False,True,False,False,3,0,+,3,=,6,-,4,-,4,True,-,=,-,True,+,-,28,28,+,29,-,32,-,30,-,+,=,-,=,-2,0,-2,7,+,=,-,-,-3,False,False,True,67,67,69,74,71,True,1,1,2,5,3,nocadence
False,False,True,False,True,0,6,-,3,-,4,-,3,=,3,True,=,+,-,False,-,-,28,32,-,28,=,30,-,29,-,-,+,=,=,0,7,-2,-3,-,-,-,=,-2,False,True,False,67,74,67,71,69,False,1,5,1,3,2,nocadence
False,False,False,True,True,3,4,-,0,+,3,=,3,-,2,False,+,-,=,False,-,-,29,30,-,28,+,29,-,28,=,=,+,=,+,2,-3,0,-2,-,+,=,-,-2,False,True,False,69,71,67,69,67,False,2,3,1,2,1,nocadence
False,True,False,True,False,3,3,=,3,=,3,-,0,+,1,False,+,-,+,False,-,=,30,29,-,29,+,28,=,28,+,=,=,+,+,2,-2,2,-2,=,=,-,+,0,False,False,False,71,69,69,67,67,True,3,2,2,1,1,nocadence
True,True,False,False,False,3,3,-,3,=,0,+,3,=,1,False,-,-,+,False,=,+,29,28,=,30,-,28,+,29,+,+,-,+,=,-2,-2,2,0,-,=,+,=,2,False,False,False,69,67,71,67,69,True,2,1,3,1,2,nocadence
False,False,True,False,False,3,0,+,3,=,3,=,3,=,2,False,+,=,-,False,+,+,30,28,+,29,+,29,+,30,-,+,+,=,-,2,0,-2,2,+,=,=,=,2,True,False,False,71,67,69,69,71,False,3,1,2,2,3,nocadence
False,False,False,False,True,4,3,=,3,+,3,=,3,=,1,False,+,+,+,True,+,-,32,29,+,30,+,30,-,29,+,=,=,-,+,3,2,2,2,=,+,=,=,-2,False,False,False,74,69,71,71,69,True,5,2,3,3,2,midcadence
True,False,False,True,False,3,3,=,4,-,3,=,3,+,1,False,-,+,+,True,-,+,31,30,-,32,-,29,+,30,+,-,-,+,=,-2,2,3,-2,=,-,=,+,2,False,False,False,72,71,74,69,71,True,4,3,5,2,3,nocadence
False,True,True,False,False,2,3,=,3,-,3,+,4,-,3,True,-,-,-,False,+,+,30,29,+,31,-,30,+,32,-,+,=,=,-,-1,-2,-2,2,=,-,+,-,3,True,False,False,71,69,72,71,74,False,3,2,4,3,5,nocadence
True,False,False,False,True,3,3,+,2,+,4,-,3,-,2,True,-,+,-,True,+,-,29,30,+,30,-,32,-,31,-,=,=,-,=,-2,2,-1,3,+,+,-,-,-2,False,False,False,69,71,71,74,72,True,2,3,3,5,4,nocadence
True,False,True,True,False,3,4,-,3,=,3,-,2,+,2,False,-,+,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,3,-2,-2,-,=,-,+,-1,False,True,False,67,74,69,72,71,False,1,5,2,4,3,nocadence
False,True,True,False,True,5,3,-,3,+,2,+,3,=,2,False,+,-,-,False,-,-,30,31,-,28,+,30,-,29,-,=,+,=,=,4,-2,-2,-1,-,+,+,=,-2,False,True,False,71,72,67,71,69,False,3,4,1,3,2,nocadence
False,False,False,True,True,0,2,+,5,-,3,=,3,+,2,False,=,-,+,False,-,-,30,30,-,30,=,29,-,28,+,=,-,=,+,0,-1,4,-2,+,-,=,+,-2,False,True,False,71,71,71,69,67,False,3,3,3,2,1,midcadence
True,True,False,True,False,2,3,=,0,+,3,+,5,-,2,True,+,-,=,True,-,+,31,29,-,30,+,28,+,30,=,=,+,+,-,1,-2,0,-2,=,+,+,-,4,False,False,False,72,69,71,67,71,True,4,2,3,1,3,nocadence
False,True,True,False,False,3,3,+,2,+,5,-,0,+,2,True,+,-,+,False,+,=,32,28,+,31,+,30,=,30,+,+,=,-,+,2,-2,1,4,+,+,-,+,0,False,False,False,74,67,72,71,71,True,5,1,4,3,3,nocadence
False,False,False,False,True,0,5,-,3,-,0,+,2,+,1,False,=,+,+,False,=,+,32,30,=,32,=,30,+,31,+,-,-,+,=,0,4,2,0,-,-,+,+,1,False,False,False,74,71,74,71,72,True,5,3,5,3,4,nocadence
True,False,False,True,False,3,0,+,0,+,2,+,3,-,2,False,-,=,=,False,+,+,31,30,+,32,-,31,+,32,=,+,-,=,-,-2,0,0,1,+,+,+,-,2,True,False,False,72,71,74,72,74,False,4,3,5,4,5,nocadence
False,True,True,False,False,2,2,+,3,-,3,-,0,+,1,False,-,+,-,False,+,=,30,31,+,31,-,32,=,32,-,=,=,-,-,-1,1,-2,2,+,-,-,+,0,False,False,False,71,72,72,74,74,True,3,4,4,5,5,nocadence
True,False,False,False,True,3,3,-,2,+,0,+,3,-,1,False,-,+,-,False,=,-,29,32,=,30,-,32,-,31,-,-,=,-,=,-2,2,-1,0,-,+,+,-,-2,False,False,False,69,74,71,74,72,True,2,5,3,5,4,nocadence
True,False,True,True,False,3,0,+,3,=,3,-,2,+,2,False,-,=,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,0,-2,-2,+,=,-,+,-1,False,True,False,67,74,69,72,71,False,1,5,2,4,3,nocadence
False,True,True,False,True,5,3,-,3,+,2,+,3,=,2,False,+,-,-,False,-,-,30,31,-,28,+,30,-,29,-,=,+,=,=,4,-2,-2,-1,-,+,+,=,-2,False,True,False,71,72,67,71,69,False,3,4,1,3,2,midcadence
True,False,False,True,True,2,2,+,5,-,3,=,3,+,2,False,+,-,+,False,-,-,31,30,-,30,+,29,-,28,+,=,=,=,+,1,-1,4,-2,+,-,=,+,-2,False,True,False,72,71,71,69,67,False,4,3,3,2,1,nocadence
False,True,True,True,False,3,3,=,2,+,3,+,5,-,2,True,+,-,+,True,-,+,32,29,-,31,+,28,+,30,+,=,=,+,=,2,-2,1,-2,=,+,+,-,4,False,False,False,74,69,72,67,71,True,5,2,4,1,3,nocadence
True,True,False,False,True,3,3,+,3,=,5,-,2,+,3,True,-,-,+,False,+,+,31,28,+,32,-,30,+,31,+,+,-,=,=,-2,-2,2,4,+,=,-,+,1,True,False,False,72,67,74,71,72,False,4,1,5,3,4,nocadence
False,False,True,True,False,2,5,-,3,-,2,+,3,=,2,False,-,+,-,False,+,+,30,30,+,31,-,31,+,32,-,=,=,=,-,-1,4,-2,1,-,-,+,=,2,True,False,False,71,71,72,72,74,False,3,3,4,4,5,nocadence
True,True,False,False,True,5,2,+,2,+,3,=,3,-,1,False,-,+,-,True,+,-,28,31,+,30,-,32,-,31,-,=,=,-,=,-4,1,-1,2,+,+,=,-,-2,False,False,False,67,72,71,74,72,True,1,4,3,5,4,nocadence
False,False,True,True,False,5,3,=,5,=,3,-,2,+,2,False,+,+,-,False,-,-,30,32,-,28,+,31,-,30,-,-,+,=,=,4,2,-4,-2,=,=,-,+,-1,False,True,False,71,74,67,72,71,False,3,5,1,4,3,nocadence
False,True,False,False,True,4,3,-,5,-,2,+,5,=,3,True,+,-,+,False,-,-,32,31,-,30,+,30,-,28,+,=,=,=,+,3,-2,4,-1,-,-,+,=,-4,False,True,False,74,72,71,71,67,False,5,4,3,3,1,midcadence
True,False,False,True,False,3,2,+,4,-,5,=,5,-,2,True,-,-,+,True,-,+,31,30,-,32,-,28,+,30,+,=,-,+,=,-2,-1,3,-4,+,-,=,-,4,False,False,False,72,71,74,67,71,True,4,3,5,1,3,nocadence
False,True,True,False,False,2,5,=,3,-,5,-,4,-,4,True,-,-,-,False,+,+,30,28,+,31,-,30,+,32,-,+,=,=,-,-1,-4,-2,4,=,-,-,-,3,True,False,False,71,67,72,71,74,False,3,1,4,3,5,nocadence
True,False,False,False,True,3,5,-,2,+,4,-,3,-,2,True,-,+,-,True,+,-,29,30,+,30,-,32,-,31,-,=,=,-,=,-2,4,-1,3,-,+,-,-,-2,False,False,False,69,71,71,74,72,True,2,3,3,5,4,nocadence
True,False,True,True,False,3,4,-,3,=,3,-,2,+,2,False,-,+,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,3,-2,-2,-,=,-,+,-1,False,True,False,67,74,69,72,71,False,1,5,2,4,3,nocadence
False,True,True,False,True,3,3,-,3,=,2,+,3,=,2,False,+,-,-,False,-,-,29,31,-,28,+,30,-,29,-,=,+,=,=,2,-2,-2,-1,-,=,+,=,-2,False,True,False,69,72,67,71,69,False,2,4,1,3,2,nocadence
False,False,False,True,True,3,2,+,3,=,3,=,3,=,2,False,+,-,+,False,-,-,30,30,-,29,+,29,-,28,+,=,=,=,+,2,-1,2,-2,+,=,=,=,-2,False,True,False,71,71,69,69,67,False,3,3,2,2,1,nocadence
True,True,False,True,False,3,3,=,3,=,3,=,3,=,1,False,-,-,+,True,-,+,29,29,-,30,-,28,+,29,+,=,-,+,=,-2,-2,2,-2,=,=,=,=,2,False,False,False,69,69,71,67,69,True,2,2,3,1,2,nocadence
False,True,True,False,False,3,3,=,3,=,3,=,3,=,2,False,+,-,-,False,+,+,30,28,+,29,+,29,+,30,-,+,+,=,-,2,-2,-2,2,=,=,=,=,2,True,False,False,71,67,69,69,71,False,3,1,2,2,3,nocadence
False,False,False,False,True,4,3,=,3,+,3,=,3,=,1,False,+,+,+,True,+,-,32,29,+,30,+,30,-,29,+,=,=,-,+,3,2,2,2,=,+,=,=,-2,False,False,False,74,69,71,71,69,True,5,2,3,3,2,midcadence
True,False,False,True,False,3,3,=,4,-,3,=,3,+,1,False,-,+,+,True,-,+,31,30,-,32,-,29,+,30,+,-,-,+,=,-2,2,3,-2,=,-,=,+,2,False,False,False,72,71,74,69,71,True,4,3,5,2,3,nocadence
False,True,True,False,False,2,3,=,3,-,3,+,4,-,3,True,-,-,-,False,+,+,30,29,+,31,-,30,+,32,-,+,=,=,-,-1,-2,-2,2,=,-,+,-,3,True,False,False,71,69,72,71,74,False,3,2,4,3,5,nocadence
True,False,False,False,True,3,3,+,2,+,4,-,3,-,2,True,-,+,-,True,+,-,29,30,+,30,-,32,-,31,-,=,=,-,=,-2,2,-1,3,+,+,-,-,-2,False,False,False,69,71,71,74,72,True,2,3,3,5,4,nocadence
True,False,True,True,False,3,4,-,3,=,3,-,2,+,2,False,-,+,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,3,-2,-2,-,=,-,+,-1,False,True,False,67,74,69,72,71,False,1,5,2,4,3,nocadence
?,True,True,False,True,?,3,-,3,?,2,+,3,=,2,False,?,-,-,False,-,-,?,31,-,28,?,30,-,29,-,=,?,=,=,?,-2,-2,-1,-,?,+,=,-2,False,True,False,?,72,67,71,69,False,?,4,1,3,2,nocadence
False,False,False,False,False,3,?,?,0,+,0,=,0,=,0,False,+,?,=,False,=,=,29,28,=,28,+,28,=,28,=,=,+,=,=,2,0,0,0,=,+,=,=,0,False,False,False,71,69,69,69,69,False,2,1,1,1,1,nocadence
True,False,False,False,False,5,0,=,3,+,0,=,0,+,0,False,-,=,+,False,=,=,27,28,=,29,-,28,=,28,+,=,-,=,+,-4,0,2,0,=,+,=,+,0,False,False,False,67,69,71,69,69,False,7,1,2,1,1,nocadence
False,False,True,False,False,2,0,=,5,-,0,+,3,+,1,False,-,=,-,False,=,+,26,28,=,27,-,28,+,29,-,=,=,+,-,-1,0,-4,0,=,-,+,+,2,False,False,False,66,69,67,69,71,True,6,1,7,1,2,nocadence
True,False,False,False,True,3,0,+,2,+,3,+,5,-,2,True,-,=,-,True,+,-,25,28,+,26,-,29,-,27,-,+,=,-,=,-2,0,-1,2,+,+,+,-,-4,False,False,False,64,69,66,71,67,True,5,1,6,2,7,nocadence
False,False,True,True,False,6,3,+,3,+,5,-,2,+,3,True,+,+,-,False,-,-,29,29,-,25,+,27,-,26,-,-,+,=,=,7,2,-2,-4,+,+,-,+,-1,False,True,False,71,71,64,67,66,False,2,2,5,7,6,nocadence
False,True,False,False,True,3,5,-,6,-,2,+,3,+,2,False,+,-,+,False,-,-,30,27,-,29,+,26,-,25,+,=,=,=,+,2,-4,7,-1,-,-,+,+,-2,False,True,False,73,67,71,66,64,False,3,7,2,6,5,midcadence
True,False,False,True,False,3,2,+,3,=,3,+,6,-,4,True,-,-,+,True,-,+,29,26,-,30,-,25,+,29,+,=,-,+,=,-2,-1,2,-2,+,=,+,-,7,False,False,False,71,66,73,64,71,True,2,6,3,5,2,nocadence
True,True,True,False,False,3,3,+,3,=,6,-,3,=,5,True,-,-,-,False,+,+,28,25,+,29,-,29,+,30,-,+,=,=,-,-2,-2,-2,7,+,=,-,=,2,True,False,True,69,64,71,71,73,False,1,5,2,2,3,nocadence
False,False,True,False,True,2,6,-,3,-,3,=,3,=,1,False,-,+,-,True,+,-,27,29,+,28,-,30,-,29,-,=,=,-,=,-1,7,-2,2,-,-,=,=,-2,False,False,False,68,71,69,73,71,True,7,2,1,3,2,nocadence
True,False,False,True,True,3,3,=,2,+,3,=,3,-,2,False,-,+,-,False,-,-,26,30,-,27,-,29,-,28,-,-,=,=,=,-2,2,-1,-2,=,+,=,-,-2,False,True,False,66,73,68,71,69,False,6,3,7,2,1,nocadence
False,True,True,True,False,3,3,=,3,=,3,-,2,+,2,False,+,-,-,False,-,-,27,29,-,26,+,28,-,27,-,=,+,=,=,2,-2,-2,-2,=,=,-,+,-1,False,True,False,68,71,66,69,68,False,7,2,6,1,7,nocadence
True,True,False,False,True,3,3,-,3,=,2,+,3,=,2,False,-,-,+,False,-,-,26,28,-,27,-,27,-,26,+,=,-,=,+,-2,-2,2,-1,-,=,+,=,-2,False,True,False,66,69,68,68,66,False,6,1,7,7,6,nocadence
True,False,True,True,False,3,2,+,3,=,3,=,3,=,1,False,-,-,-,True,-,+,25,27,-,26,-,26,+,27,-,=,=,+,-,-2,-1,-2,-2,+,=,=,=,2,False,False,False,64,68,66,66,68,True,5,7,6,6,7,nocadence
False,True,True,False,True,7,3,=,3,+,3,=,3,=,1,False,+,-,-,True,+,-,32,26,+,25,+,27,-,26,-,+,+,-,=,12,-2,-2,2,=,+,=,=,-2,False,False,False,76,66,64,68,66,True,5,6,5,7,6,nocadence
True,False,False,True,True,3,3,=,7,-,3,=,3,+,2,False,-,+,+,False,-,-,31,27,-,32,-,26,-,25,+,-,-,=,+,-2,2,12,-2,=,-,=,+,-2,False,True,False,74,68,76,66,64,False,4,7,5,6,5,midcadence
False,True,True,True,False,2,3,=,3,-,3,+,7,-,7,True,-,-,-,True,-,+,30,26,-,31,-,25,+,32,-,=,=,+,-,-1,-2,-2,-2,=,-,+,-,12,False,False,False,73,66,74,64,76,True,3,6,4,5,5,nocadence
True,True,False,False,True,3,3,+,2,+,7,-,3,-,7,True,-,-,-,True,+,-,29,25,+,30,-,32,-,31,-,+,=,-,=,-2,-2,-1,12,+,+,-,-,-2,False,False,True,71,64,73,76,74,True,2,5,3,5,4,nocadence
True,False,True,True,False,3,7,-,3,=,3,-,2,+,2,False,-,+,-,False,-,-,28,32,-,29,-,31,-,30,-,-,=,=,=,-2,12,-2,-2,-,=,-,+,-1,False,True,False,69,76,71,74,73,False,1,5,2,4,3,nocadence
False,True,True,False,True,0,3,-,3,-,2,+,3,=,2,False,=,-,-,False,-,-,28,31,-,28,=,30,-,29,-,=,+,=,=,0,-2,-2,-1,-,-,+,=,-2,False,True,False,69,74,69,73,71,False,1,4,1,3,2,nocadence
False,False,False,True,True,3,2,+,0,+,3,=,3,-,2,False,+,-,=,False,-,-,29,30,-,28,+,29,-,28,=,=,+,=,+,2,-1,0,-2,+,+,=,-,-2,False,True,False,71,73,69,71,69,False,2,3,1,2,1,nocadence
False,True,False,True,False,3,3,=,3,=,3,-,0,+,1,False,+,-,+,False,-,=,30,29,-,29,+,28,=,28,+,=,=,+,+,2,-2,2,-2,=,=,-,+,0,False,False,False,73,71,71,69,69,True,3,2,2,1,1,nocadence
True,True,False,False,False,3,3,-,3,=,0,+,3,=,1,False,-,-,+,False,=,+,29,28,=,30,-,28,+,29,+,+,-,+,=,-2,-2,2,0,-,=,+,=,2,False,False,False,71,69,73,69,71,True,2,1,3,1,2,nocadence
